CageID,Dose,D4A,D4D,D6A,D6D,D18A,D18D,D18L,D34A,D34D,D34L
R1,100,0,10,0,10,0,10,F,NA,NA,NA
R2,100,0,10,0,10,0,10,F,NA,NA,NA
R3,100,0,11,0,12,0,10,F,NA,NA,NA
R4,100,0,11,0,7,0,10,F,NA,NA,NA
R5,100,0,8,0,8,0,8,F,NA,NA,NA
R6,100,0,10,0,11,0,11,F,NA,NA,NA
R7,100,0,11,0,11,0,11,F,NA,NA,NA
R8,100,0,10,0,11,0,10,F,NA,NA,NA
O1,10,6,3,6,3,3,6,F,0,8,F
O2,10,3,6,2,7,0,10,F,NA,NA,NA
O3,10,3,7,2,8,2,9,F,2,9,F
O4,10,5,5,6,5,4,6,F,3,7,F
O5,10,2,9,0,11,0,11,F,NA,NA,NA
O6,10,5,5,2,8,1,9,F,1,9,F
O7,10,7,3,4,6,5,5,F,4,6,F
O8,10,5,4,1,9,1,9,F,0,10,F
Y1,1,7,2,6,3,7,3,T,4,6,F
Y2,1,8,2,8,2,3,7,T,7,3,F
Y3,1,5,5,3,7,3,6,F,9,1,F
Y4,1,6,4,6,4,6,3,F,5,3,F
Y5,1,7,3,5,5,5,5,T,5,5,F
Y6,1,7,3,5,5,6,4,F,1,9,F
Y7,1,3,4,4,7,4,7,F,4,5,F
Y8,1,5,4,5,4,5,4,F,0,8,F
G1,0,7,3,5,5,4,6,T,4,6,T
G2,0,5,4,5,4,3,6,F,3,6,T
G3,0,5,4,5,5,4,6,T,4,5,T
G4,0,7,3,7,4,7,1,T,4,5,T
G5,0,6,3,5,4,4,6,T,3,5,T
G6,0,8,2,7,2,7,2,T,6,2,F
G7,0,10,0,10,9,9,1,F,7,2,F
G8,0,6,4,6,4,6,4,T,5,5,T
